Question,Answer
Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn. 
"Do his works enjoy a broad popular appeal in the United States, where Rockwell is most famous for the cover illustrations of everyday life scenarios he created for The Saturday Evening Post magazine over more than four decades?",yes
"Are among the best-known of Rockwell's works the Willie Gillis series, Rosie the Riveter (although his Rosie was reproduced less than others of the day), Saying Grace (1951), and the Four Freedoms series?",Yes.
Is he also noted for his work for the Boy Scouts of America (BSA)?,yes
Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
Does the octopus have two eyes?,"Yes, the octopus has two eyes."
Does the octopus have two eyes?,"Yes, the octopus has two eyes."
Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.
Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms.
Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
How many arms does an octopus have?,An octopus has four pairs of arms.
How many arms does an octopus have?,The octopus has four pairs of arms.
What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.
What is the range of lifespans of the octopus?,The octopus has a short lifespan.
What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns."
What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes.
How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage."
How can an octopus defend against predators?,"They can hide, flee, expel ink, or use camouflage."
Are Octopus highly intelligent?,yes
Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes
Do the octopuses in the less familiar Cirrina suborder have two fins and an internal shell?,"Yes, the octopuses in the less familiar Cirrina suborder have two fins and an internal shell."
Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms."
Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes
Is the collective form octopus usually reserved for animals consumed for food?,Yes
"Has an octopus a hard beak, with its mouth at the center point of the arms?",Yes
What happened in 1968 through 1971?,"Devoting his full energies to his work, Picasso became more daring, his works more colorful and expressive, and from 1968 through 1971"
What happened in 1838?,Don José Ruiz y Blasco was born
"Who was not long in finding another lover, Jacqueline Roque?",Picasso.
When did Picasso make his first trip to Paris?,1900
Give an example of the most comprehensive records extant of any major artists beginnings. ,Museu Picasso
Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes.
Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,yes
Is he one of the most recognized figures in 20th-century art?,yes
Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,Yes.
"Are among his most famous works the proto-Cubist Les Demoiselles d'Avignon (1907) and Guernica (1937), his portrayal of the German bombing of Guernica during the Spanish Civil War?",Yes.
Are pianos used in Western music?,Yes.
Are pianos used in Western music?,Yes
"Are ""upright pianos"" called ""vertical pianos""?",Yes.
"Are ""upright pianos"" called ""vertical pianos""?",Yes
Did Bartolomeo Cristofori invent the modern piano?,Yes.
Did Bartolomeo Cristofori invent the modern piano?,Yes
What is the middle pedal called on grand pianos?,the sostenuto pedal.
What is the middle pedal called on grand pianos?,sostenuto pedal
How many black keys do modern pianos have?,36.
How many black keys do modern pianos have?,36
What is the sustain pedal called?,The pedal
What is the sustain pedal called?,damper pedal
Where is Irving Berlin's piano located?,In the Smithsonian Museum.
Where is Irving Berlin's piano located?,in the Smithsonian Museum
What kind of piano did Irving Berlin play?,The transposing piano.
What kind of piano did Irving Berlin play?,transposing piano
Is the left-most pedal on a grand piano called the una corda?,yes
Is the left-most pedal on a grand piano called the una corda?,"Yes, the left-most pedal on a grand piano is called the una corda."
Is it advantageous for a grand piano's metal plate to be quite massive?,yes
Is it advantageous for a grand piano's metal plate to be quite massive?,It is advantageous for the plate to be quite massive.
Is the mechanism in an upright piano perpendicular to its keys?,yes
Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys.
About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
How many total keys does a typical modern piano have?,88 keys.
How many total keys does a typical modern piano have?,A modern piano has 88 keys.
Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
Do older pianos have more keys than modern pianos?,no.
Do older pianos have more keys than modern pianos?,Many older pianos only have 85 keys.
What are the names of a piano's pedals?,"Piano pedals from left to right: una corda, sostenuto, and damper."
What are the names of a piano's pedals?,"The names of a piano's pedals are una corda, sostenuto, and damper."
"What happened in the January 15, 1882?","On January 15, 1882 Renoir met the composer Richard Wagner at his home in Palermo, Sicily."
What happened in 1887?,"In 1887, a year when Queen Victoria celebrated her Golden Jubilee, and upon the request of the queen's associate, Phillip Richbourg, he donated several paintings to the ""French Impressionist Paintings"" catalog as a token of his loyalty."
Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?,Yes.
Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes
Have two of Renoirs paintings sold for more than US0 million?,Yes (any painting sells for more than $0 million though...)
"As a celebrator of beauty, and especially feminine sensuality, has it been said that ``Renoir is the final representative of a tradition which runs directly from Rubens to Watteau''?",Yes.
"Did Pierre-Auguste Renoir die in Limoges, Haute-Vienne, France, the child of a working class family?",no
"As a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes
Is Portuguese an official language of Andorra?,No
Is Portuguese an official language of Andorra?,"No, Portuguese is not an official language of Andorra."
Does the Portuguese language have its roots in the Latin language?,Yes
Does the Portuguese language have its roots in the Latin language?,"Yes, Portuguese is derived from Latin."
Does Portuguese contain words from the Arabic language?,Yes
Does Portuguese contain words from the Arabic language?,"Yes, Portuguese contains words from the Arabic language."
Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor 
